"","IDI","NRI","F_Test","Wilcoxon","Kendall"
"LPC.16.0...SN1.",0.0129792577636822,0.00980143954402711,0.0172435035411751,0.0127224427301126,0.0126071531873863
"PC.O.18.0.20.4.",0.0130957930680518,0.0284139407575202,0.0150765627059572,0.0148480597338527,0.0147172297824028
"PC.18.1_18.1.",0.0130957930680518,NA,0.0176554208576597,0.0189975028688774,0.0188374278667815
"PE.P.18.1.22.5...B.",0.0132736628108304,0.00451246818907904,0.0164534129382308,0.0148480597338527,0.0147172297824028
"PC.O.38.5.",0.0132736628108304,0.0165701258424328,0.0160233335919985,0.0189169538958742,0.0187563782553325
"CE.22.4.",0.0132736628108304,0.0309024620935261,0.0164534129382308,0.0220880326573491,0.0219048966832097
"LPC.20.0...SN1.",0.0132736628108304,0.0142038314825392,0.0168377140529461,0.0148480597338527,0.0147172297824028
"PC.P.20.0.20.4.",0.0132736628108304,0.0204919834764286,0.0160233335919985,0.015134228255373,0.0150013503101461
"PC.18.1_18.2.",0.0144438571140665,0.00293253285265616,0.0164534129382308,0.0159916581740122,0.0158520855556827
"LPC.O.22.0.",0.0150217070519652,NA,0.0223400906306703,0.0185972384616828,0.0184376360387128
"LPI.20.4...SN2.",0.0156746019167888,NA,0.0223400906306703,0.0393989410370927,0.039101551337567
"C7_0",0.0156746019167888,NA,0.0239045442186627,0.0270004989629629,0.0267827841622562
"LPC.20.1...SN1.",0.0156872699899879,0.0284139407575202,0.0179122122767616,0.0223489750805491,0.0221641390555374
"HEX2CER.D18.1.16.0.",0.0156872699899879,NA,0.0164534129382308,0.034459249000794,0.0341906395106338
"LPC.22.4...SN2.",0.0193068907051527,NA,0.0223400906306703,0.0393989410370927,0.039101551337567
"C8_0",0.0194125375195862,NA,0.0241357783860754,0.0229043646234132,0.0227158839388884
"ADNI_LAN",0.0194125375195862,NA,0.0223400906306703,0.0406578187829993,0.0403527959401823
"CE.20.1.",0.0194125375195862,NA,0.023880716283146,0.0335281624883442,0.0332640456989239
"GM3.D18.1.24.0.",0.0201373165650177,NA,0.027670267736264,0.0250225280537875,0.0248189502624299
"PE.P.18.0.22.4.",0.0219661415099158,0.0165701258424328,0.0209473704928021,0.0320775552904962,0.0318232106412976
"LPC.22.4...SN1.",0.0219661415099158,NA,0.0245435523538797,0.04023348775427,0.0399310374970773
"L_ASPARTIC_ACID",0.0219661415099158,NA,0.0239045442186627,0.0266324930861405,0.0264171947833012
"C4_0",0.0219661415099158,NA,0.0296171653748742,0.0189169538958742,0.0187563782553325
"GLYCERIC_ACID",0.0248991790882626,NA,0.0276703176570205,0.0488682621460736,0.0485134106317492
"LPC.O.24.0.",0.0254226178399017,0.0196173528238453,0.0296171653748742,0.0189975028688774,0.0188374278667815
"LPC.22.5...SN1...N6.",0.026034648471879,NA,0.0253005065059006,0.034459249000794,0.0341906395106338
"PC.O.18.0.18.2.",0.0264838201965715,NA,0.0276703176570205,0.0372545753747392,0.0369664783124459
"LPC.O.18.1.",0.0277235291047956,NA,0.0276703176570205,0.0372805064819235,0.0369929762897103
"PC.16.0_20.3...A.",0.0279827496925451,0.0204919834764286,0.033818895062094,0.0231228544045766,0.0229332954106286
"HEX2CER.D18.1.22.0.",0.028288982362276,NA,0.027670267736264,0.034459249000794,0.0341906395106338
"C6_0",0.0304610221078506,NA,0.041803728856402,0.041060646522174,0.040754504790234
"PC.18.0_18.2.",0.0306555569352571,0.0200143187450877,0.041827858325026,0.0372805064819235,0.0369929762897103
"LPC.22.0...SN1.",0.0306555569352571,0.0362260340800548,0.0351133780193047,0.0229043646234132,0.0227158839388884
"PC.O.16.0.20.3.",0.033063952743405,NA,0.0406758246132729,0.039072111356149,0.038772371038765
"CE.24.0.",0.033063952743405,NA,0.0326643011211325,0.0393989410370927,0.039101551337567
"PI.18.0_22.4.",0.033063952743405,NA,0.0433341364908517,0.0201993030818678,0.0200301503024264
"HEX2CER.D18.1.24.0.",0.033063952743405,NA,0.0299707281607619,NA,NA
"PC.38.4...B.",0.0352109530009355,NA,0.0433341364908517,0.0231228544045766,0.0229332954106286
"LPC.P.18.1.",0.0352574879166484,0.0200143187450877,0.0433341364908517,0.034459249000794,0.0341906395106338
"AC.20.4.",0.035654286003436,NA,0.0326643011211325,0.0393989410370927,0.039101551337567
"GM1.D18.1.16.0.",0.0358392405290101,0.0309024620935261,0.0463002606640787,0.034459249000794,0.0341906395106338
"LPC.O.20.0.",0.0358392405290101,NA,0.0433341364908517,0.041060646522174,0.040754504790234
"LPC.O.24.1.",0.0372376194407185,0.00579453990781979,0.0463857210573198,0.0189975028688774,0.0188374278667815
"PC.16.0_20.3...B.",0.0374923070659482,NA,0.0463857210573198,0.0393989410370927,0.039101551337567
"GM3.D18.1.24.1.",0.0374923070659482,NA,0.0485323926568496,NA,NA
"AC.16.1..OH",0.041215901122189,0.0309024620935261,0.0463857210573198,0.0306411581397527,0.0303969372769063
"PE.P.18.0.22.5...N6.",0.041698337202141,0.0142038314825392,0.0433341364908517,0.041060646522174,0.040754504790234
"LPE.P.18.0.",0.0428944732592359,NA,NA,0.0189169538958742,0.0187563782553325
"PI.18.0_20.2.",0.0428944732592359,0.0362260340800548,0.0438834701870373,0.0393989410370927,0.039101551337567
"LPE.20.4...SN2.",0.0428944732592359,NA,0.0433341364908517,NA,NA
"LPC.19.1...A.",0.0429048757996861,NA,NA,0.0393989410370927,0.039101551337567
"LPC.O.16.0.",0.0432973280541689,NA,0.0463857210573198,0.0393989410370927,0.039101551337567
"PC.18.0_22.4.",0.0433149683778814,NA,0.0475415844085928,0.0393989410370927,0.039101551337567
"PE.P.18.0.20.3...B.",0.046199374876459,NA,0.0485323926568496,NA,NA
"TG.52.3...NL.16.1.",0.046199374876459,NA,NA,0.0495456481669874,0.0491873962442964
"PE.P.18.0.18.2.",0.046199374876459,0.0284139407575202,0.0463857210573198,0.0393989410370927,0.039101551337567
"PA.36.3.",0.046199374876459,NA,NA,0.041060646522174,0.040754504790234
"PI..38.5...B.",0.0467451254938239,0.0362260340800548,0.0471605142737476,0.0443588863468345,0.0440331506518942
"LPC.19.0...SN1...B.",0.0479005576219075,NA,NA,NA,NA
"LPC.16.0...SN2.",0.0479911279378977,0.0438438840524697,NA,0.0393989410370927,0.039101551337567
"UBIQUINONE",NA,0.0045673756251235,NA,0.0431474211341329,0.0428288149507461
"HEX3CER.D18.1.16.0.",NA,0.0120125249811924,NA,NA,NA
"PC.O.16.0.20.4.",NA,0.0204919834764286,NA,NA,NA
"PI.18.1_18.2.",NA,0.0204919834764286,NA,NA,NA
"PC.18.0_22.5...N6.",NA,0.0204919834764286,NA,NA,NA
"LPC.P.16.0.",NA,0.0204919834764286,NA,NA,NA
"LPC.18.0...SN2.",NA,0.0249273595897668,NA,NA,NA
"PE.P.18.1.18.2...A.",NA,0.0249273595897668,NA,0.0393989410370927,0.039101551337567
"CER.D18.1.24.0.",NA,0.0284139407575202,NA,NA,NA
"LPC.15.MHDA...SN1....LPC.17.0...SN2.",NA,0.0284139407575202,NA,NA,NA
"AC.12.1.",NA,0.0309024620935261,0.0485323926568496,NA,NA
"LPC.16.1...SN1.",NA,0.0309024620935261,NA,NA,NA
"CER.M18.0.24.0.",NA,0.0309024620935261,NA,NA,NA
"LPC.15.MHDA...SN1...104_SN1.",NA,0.0309024620935261,NA,NA,NA
"LPC.18.0...SN1.",NA,0.0309024620935261,NA,0.034459249000794,0.0341906395106338
"LPC.19.0...A...SN1...104_SN1.",NA,0.0362260340800548,NA,0.0443588863468345,0.0440331506518942
"PC.18.1_20.3.",NA,0.0432525603369949,NA,NA,NA
"HEX2CER.D18.1.20.0.",NA,0.0438438840524697,NA,0.0395120988407536,0.0392142605811747
"PE.P.16.0.18.2.",NA,0.0438438840524697,NA,NA,NA
"AC.22.6.",NA,0.0494055699275413,NA,NA,NA
"PC.16.0_18.1.",NA,0.0494055699275413,NA,NA,NA
"PC.P.18.0.18.2.",NA,0.0494055699275413,NA,NA,NA
"PE.17.0_20.4.",NA,0.0494055699275413,NA,NA,NA
"TG.54.4...NL.18.2.",NA,NA,0.0485323926568496,0.0427963062306804,0.042479416220671
"PC.16.0_20.4.",NA,NA,NA,0.0335281624883442,0.0332640456989239
"AC.20.3...A.",NA,NA,NA,0.0393989410370927,0.039101551337567
"PE.P.20.0.20.4.",NA,NA,NA,0.041060646522174,0.040754504790234
"PC.16.0_18.2.",NA,NA,NA,0.0412160984795869,0.0409092201750246
"LPC.O.22.1.",NA,NA,NA,0.0426280029675771,0.0423119225403379
"PE.38.5...A.",NA,NA,NA,0.0431474211341329,0.0428288149507461
"LPC.O.24.2.",NA,NA,NA,0.0443588863468345,0.0440331506518942
"PE.P.18.1.20.3...B.",NA,NA,NA,0.0488682621460736,0.0485134106317492
"LPC.20.0...SN2.",NA,NA,NA,0.0493149636103903,0.0489578760344816
"X__2_METHYLPENTANOIC_ACID",NA,NA,NA,0.0493149636103903,0.0489578760344816
